Primary_classification,Secondary_classification,count
abundance,biomass,7
abundance,density,5
abundance,managed species,2
abundance,NA,2
activity,aggregation,14
activity,aggression,4
activity,behaviour,20
activity,colonization,3
activity,colony attributes,6
activity,defense,8
activity,dispersal,63
activity,displaying,2
activity,diving ability,3
activity,dormancy,8
activity,ecosystem engineer,3
activity,energy allocation,2
activity,flight traits,11
activity,metabolism,1
activity,migration,11
activity,movement,28
activity,nocturnality,4
activity,predator avoidance,29
activity,seasonality,5
activity,sleep,1
activity,vocalization,4
activity,web building,3
activity,NA,5
composition,aluminum,1
composition,cadmium,1
composition,calcium,3
composition,carbohydrate,3
composition,carbon,46
composition,cellulose,2
composition,chemcial composition,2
composition,chlorophyll,7
composition,cobalt,1
composition,copper,2
composition,cortisol,1
composition,energy density,19
composition,fiber,2
composition,iron,3
composition,latex,2
composition,leaf traits,3
composition,lignin,2
composition,lipid,9
composition,magnesium,3
composition,manganese,3
composition,nickel,1
composition,nitrogen,46
composition,oenothein A,2
composition,oenothein B,1
composition,palladium,1
composition,phenolics,3
composition,phosphorous,16
composition,potassium,5
composition,protein,4
composition,silica,4
composition,sodium,1
composition,stable isotope,2
composition,sugars,2
composition,sulphur,3
composition,tissue density,4
composition,water,5
composition,zinc,4
composition,NA,21
growth,age,1
growth,buds,2
growth,competitive ability,2
growth,condition,2
growth,development,11
growth,larval/juvenile stage length,8
growth,lateral spread,3
growth,leaf traits,8
growth,maturity,4
growth,phenology,2
growth,rate,16
growth,regeneration traits,13
growth,seasonality,1
growth,NA,30
habitat,altitude,3
habitat,biogeographic region,4
habitat,breeding habitat,6
habitat,canopy,3
habitat,distribution,2
habitat,elevation,2
habitat,habitat,18
habitat,hardiness zone,2
habitat,home range,3
habitat,horizontal habitat,2
habitat,insularity,2
habitat,microhabitat,5
habitat,non-native,12
habitat,pollution tolerance,7
habitat,range,31
habitat,soil traits,8
habitat,stream size,2
habitat,substrate,11
habitat,velocity of medium (air/water),16
habitat,vertical habitat,19
habitat,water,7
habitat,water body preference,3
habitat,NA,48
life history,age,2
life history,age/size at maturity,31
life history,defense,1
life history,emergence,5
life history,energy allocation,6
life history,fecundity,117
life history,generation time,3
life history,life cycle,12
life history,life history,3
life history,life span,15
life history,offspring attribute,3
life history,offspring size,33
life history,overwintering,5
life history,parasite traits,1
life history,parental care,4
life history,reproductive habitat,4
life history,reproductive mode,92
life history,reproductive timing,72
life history,senescence,1
life history,sex,8
life history,sexual dimorphism,3
life history,stage,1
morphology,antennae,2
morphology,bone length/shape,30
morphology,brain size,3
morphology,buoyancy,2
morphology,cell biovolume,1
morphology,coloration,32
morphology,condition,2
morphology,defense,43
morphology,desication tolerance,13
morphology,ecomorphology,3
morphology,feeding mode,1
morphology,fin,14
morphology,foliage,3
morphology,gut,4
morphology,hair,10
morphology,head,15
morphology,integument,7
morphology,leaf area,34
morphology,leaf shape,24
morphology,leaf traits,6
morphology,life form,18
morphology,liver-free body,2
morphology,mobility,55
morphology,morphometrics,6
morphology,mouth,38
morphology,mucilage,4
morphology,mucus,2
morphology,nares,1
morphology,nectar,11
morphology,niche space,1
morphology,offspring attribute,32
morphology,peduncle,2
morphology,polymorphism,2
morphology,pores,2
morphology,proboscis traits,3
morphology,pulp traits,4
morphology,reproductive structure,58
morphology,resource acquisition,4
morphology,respiratory system,2
morphology,rhizome,2
morphology,root trait,1
morphology,rostrum,2
morphology,scent,5
morphology,sensing,11
morphology,setae,4
morphology,sexual dimorphism,2
morphology,shape,75
morphology,shell traits,7
morphology,size,134
morphology,snout,6
morphology,spiracle,1
morphology,stomach size,2
morphology,storage,6
morphology,strength,6
morphology,tail traits,4
morphology,teeth traits,15
morphology,tissue density,16
morphology,vision,15
morphology,vocalization,1
morphology,water intake,29
morphology,weber length,2
morphology,wing,30
morphology,NA,65
resource acquisition,amonia excretion,1
resource acquisition,attack,3
resource acquisition,competitive ability,18
resource acquisition,consumption rate,14
resource acquisition,desication tolerance,27
resource acquisition,diet,49
resource acquisition,disturbance tolerance,20
resource acquisition,energy allocation,1
resource acquisition,feeding mode,63
resource acquisition,host characteristics,5
resource acquisition,iron,1
resource acquisition,light requirement,9
resource acquisition,metabolism,9
resource acquisition,mutualism,7
resource acquisition,niche space,13
resource acquisition,nitrogen,19
resource acquisition,nitrogen fixation,1
resource acquisition,nutrients,6
resource acquisition,oxygen,8
resource acquisition,parasite traits,8
resource acquisition,pH tolerance,5
resource acquisition,phosphorous,1
resource acquisition,photosynthetic rate,12
resource acquisition,physiology,2
resource acquisition,respiration,8
resource acquisition,salinity tolerance,7
resource acquisition,search,3
resource acquisition,silica requirement,3
resource acquisition,temperature tolerance,24
resource acquisition,NA,18
survival,competitive ability,1
survival,dispersal,1
survival,human disturbance,1
survival,insecticide,1
survival,managed species,5
survival,mortality,9
survival,pathogens,1
survival,perennation,2
survival,persistence,3
survival,pests,1
survival,predation,4
survival,survival,20
