traits,coef_intercept,coef_gc_yes,deviance_explained,p_value
biogeographic.region,-6.498282149476737,2.318779778914307,4.891525702693343,0.968
canopy,-3.725693427236672,-11.089817130727674,6.792035904573993,0.636
defense,-2.3551474230848943,-1.1312077669175642,8.139815532565137,0.424
diet,-1.744691958370095,0.7292571761808943,21.365932715341614,0.001
distribution,-14.815510558730102,10.23054308005952,5.913942920068145,0.876
disturbance.tolerance,-3.553843170310086,0.8406778685410875,4.599628857804419,0.988
fecundity,-1.6540950630178384,0.48685426796063835,5.568413705217154,0.936
feeding.mode,-1.9339339580085486,0.46248178854834665,4.050244826453877,0.999
habitat,-2.834720503346847,0.9905930486014669,15.728755929364013,0.011
insularity,-14.815510558576342,10.230543079905798,5.913942920068333,0.862
integument,-4.1003868766780975,-10.715123681286249,5.209538549446947,0.9510000000000001
leaf.area,-1.151174618758952,-0.6005795158553995,8.009426134862451,0.431
leaf.traits,-2.06746535063313,-0.6456999511358712,5.12037861953479,0.9590000000000001
life.history,-4.41884060779661,-10.396669950167736,4.138011836338137,0.999
managed.species,-14.815510557033498,11.483306046858296,17.903872944929645,0.003
migration,-4.1956970564825085,1.3154776700503545,7.310478937402337,0.581
morphometrics,-4.19569705648246,-10.619813501481886,5.172612795422893,0.9550000000000001
nitrogen,-1.669968412174137,-0.5636238093329683,4.905501478103133,0.966
non.native,-4.888844237042475,2.0956362275999734,8.63570313929759,0.381
range,-3.8592248198611934,1.7166043765598407,18.80982368489782,0.002
reproductive.habitat,-6.4982821494766645,2.3187797789142386,4.891525702692064,0.974
reproductive.mode,-1.9235711709730772,0.6885077795771045,9.544722858906539,0.203
reproductive.structure,-2.221616030460326,-1.6702042676503033,5.86664108062439,0.9
temperature.tolerance,-2.8873642368322026,0.8281254024698953,6.757301629268113,0.646
vertical.habitat,-3.4537597117531154,0.8147023821378397,4.476743117755348,0.991
