traits,coef_intercept,coef_pred_yes,deviance_explained,p_value
attack,-5.624017506187311,2.9498688567607823,4.183445827726132,0.918
colonization,-6.029482614295548,2.662186784309075,3.0973984863215875,0.994
competitive.ability,-3.5037539699871276,1.9282176092287082,5.573444639077593,0.776
desication.tolerance,-2.71529660962294,-12.100213948341336,2.8848212543325076,0.998
dispersal,-2.0879008066258034,0.8000465183191664,2.647625809676015,0.999
fecundity,-1.5693382003577216,0.910092571473458,4.967163782531429,0.848
generation.time,-5.624017506187293,2.2567216762008204,2.486407527923852,1
hardiness.zone,-14.815510557951038,12.141361908524509,6.831672994843162,0.426
horizontal.habitat,-6.722629794855372,3.355333964868895,4.075289585066766,0.9490000000000001
insularity,-6.722629794855573,3.3553339648690974,4.07528958506672,0.9500000000000001
larval.juvenile.stage.length,-4.776719645800172,2.102570996373644,3.280497469475762,0.986
leaf.shape,-2.9384401609372546,-11.877070397027024,2.5928696610175734,0.999
life.form,-2.9614296791618875,-11.85408087880239,2.665393996236503,0.999
managed.species,-5.113191882421486,2.439043232994959,3.699492401432181,0.979
maturity,-5.624017506187299,2.2567216762008275,2.4864075279243707,0.999
mortality,-4.0145795937532816,1.745896052434918,4.509965190577162,0.882
nitrogen,-1.7458960524348393,-1.6213997775516324,3.8296640093683436,0.974
non.native,-4.237723145067538,2.4798652275151634,4.804807075469739,0.855
pathogens,-14.81551055799762,11.448214728011147,6.777611118522051,0.588
pests,-14.81551055799762,11.448214728011147,6.777611118522051,0.588
phosphorous,-3.0090577281511313,-11.80645282981315,2.81221543680158,0.998
range,-3.2886425903703156,1.713106229611897,5.9477119929687206,0.751
reproductive.habitat,-5.624017506187197,2.256721676200726,2.486407527923241,1
sex,-4.324734522057255,1.6505858726307254,2.5591075711529925,0.999
temperature.tolerance,-2.715296609623003,1.2939109286918433,4.854425418732774,0.854
